grid_point,habitat,forb_pct,grass_pct,forb_rank,grass_rank,diff_rank
224,restored,0,18,0,16,16
303,restored,4,52.5,9,26,17
71,restored,0,30,0,19,19
259,restored,0.5,41,2.5,22,19.5
198,restored,7,72.5,12,33,21
86,restored,0,46.5,0,24,24
54,restored,1.5,84,7,34,27
178,restored,0,56.5,0,29,29
108,restored,0,57,0,30,30
87,restored,0,67.5,0,31,31
572,restored,0,72,0,32,32
53,restored,0.5,113.5,2.5,37,34.5
227,restored,0,84.5,0,35,35
228,restored,0,92.5,0,36,36
92,uncultivated,51,20,85,19.5,-65.5
250,uncultivated,31,15.5,74.5,13,-61.5
36,uncultivated,31,18.5,74.5,16.5,-58
203,uncultivated,41.5,26.5,82,25,-57
184,uncultivated,30,24.5,72,24,-48
172,uncultivated,32.5,35.5,77,33.5,-43.5
100,uncultivated,31.5,36.5,76,36,-40
217,uncultivated,33.5,38.5,78.5,39.5,-39
9,uncultivated,21,22.5,60,22.5,-37.5
269,uncultivated,33.5,42,78.5,43,-35.5
292,uncultivated,29,36,70,35,-35
219,uncultivated,19,22,55.5,21,-34.5
55,uncultivated,55.5,53,86,53.5,-32.5
78,uncultivated,14,10.5,37.5,6,-31.5
545,uncultivated,25,35.5,64,33.5,-30.5
169,uncultivated,14.5,14.5,41.5,11.5,-30
291,uncultivated,21,31.5,60,30.5,-29.5
174,uncultivated,26,37.5,65.5,37.5,-28
19,uncultivated,37.5,53,80,53.5,-26.5
160,uncultivated,10.5,11.5,29.5,7,-22.5
133,uncultivated,14,18.5,37.5,16.5,-21
63,uncultivated,28,51.5,68,51,-17
202,uncultivated,4.5,1.5,16.5,1,-15.5
233,uncultivated,13,19,33.5,18,-15.5
28,uncultivated,14,22.5,37.5,22.5,-15
4,uncultivated,29.5,60,71,57.5,-13.5
370,uncultivated,42.5,71.5,83,70,-13
278,uncultivated,20,50.5,57.5,50,-7.5
231,uncultivated,21.5,58.5,62,56,-6
243,uncultivated,3,12.5,14.5,9,-5.5
238,uncultivated,6.5,16,19,14,-5
277,uncultivated,15.5,38.5,44.5,39.5,-5
355,uncultivated,28,66,68,64,-4
5,uncultivated,50,79.5,84,81.5,-2.5
288,uncultivated,0.5,2.5,3,2,-1
279,uncultivated,16.5,49,48.5,49,0.5
232,uncultivated,18.5,54.5,53.5,55,1.5
20,uncultivated,20,62.5,57.5,60.5,3
207,uncultivated,14.5,42.5,41.5,44.5,3
290,uncultivated,0,3,0,3,3
218,uncultivated,15.5,48.5,44.5,48,3.5
12,uncultivated,28,72,68,72,4
420,uncultivated,8,27,22,26,4
289,uncultivated,0,6,0,4,4
540,uncultivated,39.5,83.5,81,85.5,4.5
262,uncultivated,0,8.5,0,5,5
361,uncultivated,8.5,31.5,23.5,30.5,7
180,uncultivated,7,28.5,20.5,28,7.5
88,uncultivated,0,12.5,0,9,9
273,uncultivated,0,12.5,0,9,9
73,uncultivated,12,39,31,41,10
280,uncultivated,14.5,52,41.5,52,10.5
72,uncultivated,9,37.5,26,37.5,11.5
164,uncultivated,0,14.5,0,11.5,11.5
539,uncultivated,18,65,51,63,12
267,uncultivated,22,75.5,63,75.5,12.5
404,uncultivated,16,61.5,46.5,59,12.5
405,uncultivated,10.5,42.5,29.5,44.5,15
175,uncultivated,0,17.5,0,15,15
206,uncultivated,18,71.5,51,70,19
134,uncultivated,0,20,0,19.5,19.5
165,uncultivated,2,32.5,11,32,21
542,uncultivated,30.5,97.5,73,94,21
3,uncultivated,21,82.5,60,83,23
22,uncultivated,16.5,73,48.5,73,24.5
270,uncultivated,26,89.5,65.5,90,24.5
201,uncultivated,0.5,28.5,3,28,25
48,uncultivated,14,66.5,37.5,65.5,28
199,uncultivated,0,28.5,0,28,28
205,uncultivated,19,83.5,55.5,85.5,30
58,uncultivated,16,77,46.5,77,30.5
128,uncultivated,13,67,33.5,67,33.5
561,uncultivated,2.5,48,13,47,34
21,uncultivated,14.5,77.5,41.5,78.5,37
159,uncultivated,9.5,66.5,28,65.5,37.5
367,uncultivated,12.5,71.5,32,70,38
118,uncultivated,0.5,41.5,3,42,39
185,uncultivated,18.5,96.5,53.5,93,39.5
268,uncultivated,7,62.5,20.5,60.5,40
535,uncultivated,0.5,46,3,46,43
2,uncultivated,5.5,63,18,62,44
183,uncultivated,18,113.5,51,97,46
448,uncultivated,8.5,73.5,23.5,74,50.5
7,uncultivated,9,77.5,26,78.5,52.5
536,uncultivated,0.5,60,3,57.5,54.5
473,uncultivated,13.5,108.5,35,96,61
340,uncultivated,2,75.5,11,75.5,64.5
89,uncultivated,0,69.5,0,68,68
181,uncultivated,9,99,26,95,69
322,uncultivated,4.5,87,16.5,88,71.5
321,uncultivated,3,89,14.5,89,74.5
121,uncultivated,1,79.5,6.5,81.5,75
176,uncultivated,1.5,83,8.5,84,75.5
336,uncultivated,2,84.5,11,87,76
331,uncultivated,0,78.5,0,80,80
127,uncultivated,1.5,92,8.5,91,82.5
229,uncultivated,1,94.5,6.5,92,85.5
